TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
3981.4489,6339.55,2488.18,15309.91,22845.65,18504.76,10735.51,4532.48,9417.53
3981.4529,6356.91,2503.11,15325.12,22859.62,18520.55,10749.82,4548.31,9435.46
3981.4569,6354.76,2502.16,15322.5,22857.43,18520.55,10751.15,4548.98,9433.32
3981.4609,6340.55,2490.52,15308.91,22844.84,18507.82,10747.2,4541.64,9427.6
3981.4649,6344.61,2496.53,15315.73,22847.99,18512.35,10757.73,4547.5,9438.09
3981.4689,6354.67,2502.06,15322.11,22854.24,18521.07,10752.15,4550.17,9438.23
3981.4729,6348.56,2495.05,15317.16,22847.32,18511.77,10741.19,4539.68,9426.93
3981.4769,6348.04,2493.62,15315.68,22854.71,18513.49,10740.85,4540.16,9424.69
3981.4809,6349.71,2501.06,15327.07,22850.99,18514.92,10760.5,4548.12,9439.66
3981.4849,6354.29,2507.11,15333.23,22853.9,18521.98,10764.74,4552.79,9444.19
3981.4889,6352.66,2499.53,15322.97,22849.9,18516.07,10740.9,4538.97,9429.65
3981.4929,6367.11,2511.26,15336.8,22874.93,18531.42,10758.21,4550.65,9447.15
3981.4969,6371.21,2517.94,15347.05,22881.94,18538.76,10779.43,4562.9,9460.64
3981.5009,6363.54,2513.7,15338.09,22872.98,18535.19,10764.74,4560.76,9451.1
3981.5049,6367.92,2517.56,15340.38,22875.93,18541.1,10761.88,4562.57,9451.34
3981.5089,6372.74,2520.61,15349.91,22881.94,18546.25,10776.09,4563.48,9458.97
3981.5129,6363.44,2511.31,15342.76,22867.73,18530.08,10768.46,4550.89,9448.24
3981.5169,6352.71,2503.11,15333.23,22853.52,18517.69,10758.54,4543.5,9442.0
3981.5209,6348.09,2500.96,15333.75,22848.04,18510.96,10768.51,4542.92,9445.19
3981.5249,6349.28,2502.68,15335.04,22841.46,18508.44,10769.89,4543.4,9445.33
3981.5289,6355.33,2503.2,15332.7,22860.43,18522.65,10750.77,4545.45,9439.28
3981.5329,6364.01,2508.83,15337.76,22872.4,18533.85,10753.2,4554.18,9448.53
3981.5369,6362.58,2508.16,15338.71,22869.49,18530.18,10755.68,4551.75,9442.47
3981.5409,6361.68,2505.4,15333.89,22870.78,18532.42,10755.92,4554.08,9438.28
3981.5449,6359.43,2503.2,15334.04,22870.11,18529.08,10745.86,4551.32,9433.27
3981.5489,6362.53,2508.12,15340.09,22869.78,18531.13,10752.63,4554.65,9437.37
3981.5529,6362.58,2507.73,15337.61,22867.68,18533.18,10752.73,4549.79,9437.94
3981.5569,6362.2,2509.98,15343.67,22862.53,18529.61,10764.55,4553.6,9447.0
3981.5609,6359.86,2505.73,15336.04,22868.45,18529.37,10762.98,4555.04,9445.95
3981.5649,6366.54,2508.59,15338.57,22886.57,18539.96,10756.35,4559.52,9445.0
3981.5689,6361.91,2510.12,15345.77,22865.44,18530.99,10768.13,4557.42,9450.87
3981.5729,6366.87,2514.22,15350.63,22871.07,18534.9,10775.62,4561.33,9457.49
3981.5768,6370.12,2513.46,15352.06,22880.51,18540.29,10775.57,4563.76,9457.64
3981.5808,6371.83,2516.41,15353.63,22888.57,18548.97,10779.76,4570.53,9458.92
3981.5848,6367.68,2512.17,15346.82,22882.04,18542.15,10768.08,4562.04,9449.67
3981.5888,6373.45,2516.51,15350.96,22882.13,18542.77,10765.89,4563.48,9452.15
3981.5928,6382.56,2529.19,15369.8,22884.28,18548.92,10796.98,4574.49,9477.04
3981.5968,6372.17,2518.42,15354.87,22879.75,18540.77,10767.99,4563.09,9451.82
3981.6008,6367.68,2516.32,15354.16,22867.35,18532.8,10770.27,4560.61,9449.01
3981.6048,6370.69,2520.37,15358.64,22873.69,18538.05,10770.04,4562.52,9449.29
3981.6088,6371.88,2518.08,15355.59,22882.13,18540.29,10758.78,4559.42,9441.76
3981.6128,6381.8,2524.71,15361.07,22891.67,18552.45,10777.19,4571.58,9462.83
3981.6168,6384.66,2528.48,15367.89,22892.48,18557.98,10786.92,4581.88,9470.42
3981.6208,6375.22,2520.56,15358.4,22889.76,18557.88,10778.86,4575.68,9460.16
3981.6248,6365.97,2514.31,15354.59,22876.89,18559.08,10776.0,4565.14,9454.63
3981.6288,6371.31,2515.84,15356.97,22881.51,18565.32,10775.85,4563.43,9453.63
3981.6328,6376.84,2518.7,15357.35,22892.05,18573.91,10768.94,4564.0,9452.06
3981.6368,6364.78,2512.5,15353.44,22870.21,18562.61,10768.61,4557.99,9451.2
3981.6407,6364.01,2513.6,15355.49,22861.39,18561.89,10775.62,4562.52,9454.92
3981.6447,6373.55,2517.18,15356.02,22880.46,18573.76,10775.23,4566.81,9457.16
3981.6487,6381.85,2526.09,15364.46,22892.19,18583.01,10789.73,4574.16,9473.28
3981.6527,6373.69,2519.27,15356.45,22883.08,18572.09,10767.13,4562.0,9453.68
3981.6567,6375.5,2525.14,15365.89,22877.84,18575.62,10798.65,4574.73,9475.8
3981.6607,6369.4,2519.32,15358.59,22874.79,18570.38,10795.26,4569.96,9471.37
3981.6647,6361.58,2512.31,15349.77,22866.2,18565.94,10776.85,4559.33,9455.3
3981.6687,6361.29,2514.27,15355.64,22864.15,18557.65,10784.1,4556.37,9459.93
3981.6727,6356.86,2500.58,15335.51,22867.97,18551.35,10742.57,4541.3,9431.65
3981.6767,6357.72,2501.01,15334.66,22870.11,18556.93,10746.29,4547.93,9435.23
3981.6807,6350.85,2497.01,15333.37,22856.05,18551.26,10751.49,4548.55,9436.66
3981.6847,6355.29,2501.96,15341.05,22867.73,18565.18,10760.59,4556.37,9442.81
3981.6887,6371.45,2514.08,15351.68,22887.52,18579.44,10764.98,4564.14,9448.62
3981.6927,6376.7,2519.32,15355.64,22891.95,18583.11,10771.42,4569.86,9455.44
3981.6967,6376.31,2518.56,15351.3,22893.62,18585.02,10769.94,4572.96,9457.97
3981.7007,6366.78,2509.55,15345.43,22881.27,18577.29,10767.51,4569.2,9455.11
3981.7047,6357.29,2501.63,15339.19,22868.97,18565.18,10765.7,4559.33,9449.72
3981.7087,6364.73,2505.68,15342.14,22882.51,18568.99,10759.55,4558.37,9448.1
3981.7127,6370.59,2518.37,15358.35,22874.79,18568.04,10788.2,4566.48,9469.99
3981.7167,6365.78,2515.89,15354.92,22869.88,18565.99,10789.01,4567.34,9469.7
3981.7207,6357.43,2509.36,15348.87,22861.86,18561.41,10782.62,4562.95,9461.17
3981.7247,6352.14,2496.67,15331.03,22859.43,18555.07,10739.61,4547.26,9430.46
3981.7287,6364.25,2505.59,15345.86,22884.61,18572.38,10754.54,4558.75,9444.62
3981.7327,6374.79,2520.51,15368.84,22890.0,18580.73,10792.54,4574.35,9473.85
3981.7367,6373.41,2518.65,15364.17,22886.52,18579.2,10794.55,4573.49,9474.04
3981.7407,6356.38,2496.53,15331.94,22872.26,18561.32,10736.18,4548.36,9429.31
3981.7447,6351.9,2497.01,15336.09,22867.21,18560.94,10742.14,4552.75,9434.37
3981.7487,6351.9,2507.64,15354.16,22840.98,18553.35,10764.31,4556.7,9447.43
3981.7527,6361.87,2512.55,15355.92,22851.76,18553.93,10786.15,4561.95,9465.5
3981.7567,6362.11,2506.16,15346.43,22875.98,18563.7,10764.74,4558.52,9449.91
3981.7607,6352.0,2495.91,15336.99,22868.21,18557.69,10751.87,4553.94,9439.56
3981.7647,6367.73,2514.79,15358.16,22878.84,18574.24,10788.11,4574.49,9468.6
3981.7686,6371.69,2515.79,15353.97,22883.8,18577.34,10769.27,4569.24,9456.59
3981.7726,6368.11,2512.07,15352.2,22879.32,18571.95,10764.46,4563.19,9450.2
3981.7766,6366.11,2509.36,15344.38,22878.65,18569.52,10756.88,4561.66,9444.67
3981.7806,6361.96,2506.73,15342.33,22874.74,18567.09,10753.92,4560.09,9440.14
3981.7846,6365.73,2511.26,15348.39,22873.64,18569.28,10770.42,4566.81,9454.25
3981.7886,6368.88,2513.12,15349.82,22882.66,18570.47,10766.7,4563.86,9454.87
3981.7926,6372.45,2517.37,15356.78,22888.14,18572.76,10769.56,4565.95,9458.45
3981.7966,6357.19,2506.49,15347.91,22869.78,18559.41,10745.96,4555.42,9436.37
3981.8006,6345.46,2498.25,15338.28,22853.76,18548.3,10747.86,4551.08,9435.65
3981.8046,6362.44,2510.69,15349.53,22877.31,18567.14,10770.23,4565.86,9455.16
3981.8086,6372.74,2520.28,15363.5,22875.93,18574.29,10788.16,4571.92,9472.66
3981.8126,6378.94,2526.24,15376.62,22884.56,18579.15,10806.99,4575.59,9485.63
3981.8166,6363.44,2512.12,15361.17,22877.27,18563.42,10783.15,4560.04,9461.69
3981.8206,6347.08,2498.58,15339.33,22847.61,18545.82,10761.07,4547.31,9442.09
3981.8246,6354.0,2506.64,15346.1,22846.27,18548.68,10764.89,4558.99,9452.96
3981.8286,6374.65,2517.32,15354.87,22890.95,18579.39,10758.12,4571.72,9450.34
3981.8325,6376.36,2520.13,15360.31,22895.62,18584.3,10773.95,4575.06,9460.74
3981.8365,6371.12,2519.08,15364.31,22882.85,18575.0,10786.15,4571.15,9465.74
3981.8405,6372.12,2522.23,15370.7,22885.56,18575.34,10800.51,4575.54,9475.57
3981.8445,6380.56,2529.43,15374.66,22888.62,18581.11,10792.3,4582.36,9477.43
3981.8485,6381.75,2525.62,15366.75,22894.05,18582.35,10776.66,4573.3,9462.07
3981.8525,6370.31,2512.6,15352.49,22879.08,18567.61,10755.35,4557.61,9443.24
3981.8565,6364.78,2511.26,15352.11,22873.36,18563.42,10749.53,4555.61,9435.46
3981.8605,6365.73,2514.36,15355.59,22878.32,18567.8,10779.33,4568.15,9460.16
3981.8645,6365.49,2516.51,15363.12,22880.56,18571.47,10792.5,4572.68,9470.27
3981.8685,6364.82,2509.64,15354.3,22881.89,18568.28,10769.42,4562.14,9452.53
3981.8725,6367.35,2511.17,15354.3,22879.75,18569.61,10772.13,4562.04,9458.02
3981.8765,6355.14,2500.49,15342.14,22860.01,18555.21,10754.78,4551.51,9442.0
3981.8805,6357.81,2505.49,15347.91,22868.54,18561.99,10765.22,4560.85,9449.91
3981.8845,6360.77,2508.02,15346.82,22879.89,18571.14,10758.78,4565.91,9450.48
3981.8885,6374.03,2521.85,15363.36,22887.42,18579.49,10776.19,4575.16,9467.08
3981.8925,6373.55,2518.32,15361.93,22886.71,18573.43,10770.75,4568.96,9459.69
3981.8965,6355.76,2499.91,15337.28,22870.59,18557.55,10738.33,4548.41,9428.65
3981.9005,6356.05,2500.73,15338.18,22872.5,18561.75,10745.86,4552.79,9435.08
3981.9045,6359.39,2504.35,15343.1,22875.98,18564.75,10751.15,4556.47,9440.18
3981.9085,6366.83,2510.93,15353.01,22882.13,18570.62,10762.98,4562.43,9450.72
3981.9125,6357.91,2506.16,15351.3,22857.1,18555.88,10772.56,4556.42,9453.82
3981.9165,6349.71,2496.62,15335.8,22846.13,18541.2,10748.24,4547.26,9436.61
3981.9205,6358.1,2499.39,15332.7,22873.88,18560.84,10750.72,4559.8,9445.43
3981.9245,6353.62,2498.77,15338.71,22863.34,18556.31,10752.06,4557.75,9441.95
3981.9285,6352.04,2497.48,15339.28,22853.62,18547.97,10753.68,4550.89,9436.89
3981.9325,6361.68,2503.68,15349.77,22875.36,18562.22,10764.98,4561.81,9449.29
3981.9365,6352.47,2491.28,15334.66,22868.64,18553.31,10744.38,4553.22,9433.13
3981.9405,6354.86,2496.67,15339.28,22863.39,18552.78,10752.58,4558.09,9439.04
3981.9445,6363.92,2502.58,15345.67,22873.21,18560.94,10762.6,4564.24,9444.0
